ARTICLE_ID,DATE,PICKING_QUANTITY_CU
f5336d0d,2022-06-17,11
f5336d0d,2022-06-18,3
87e1ec97,2022-06-13,7
87e1ec97,2022-06-14,8
87e1ec97,2022-06-15,4
87e1ec97,2022-06-17,10
87e1ec97,2022-06-18,4
03a30013,2022-06-13,22
03a30013,2022-06-14,29
03a30013,2022-06-15,18
03a30013,2022-06-17,44
03a30013,2022-06-18,16
baa0c2d2,2022-06-13,10
baa0c2d2,2022-06-14,4
baa0c2d2,2022-06-15,15
baa0c2d2,2022-06-17,20
baa0c2d2,2022-06-18,6
061636dc,2022-06-13,29
061636dc,2022-06-14,26
061636dc,2022-06-15,17
061636dc,2022-06-17,52
061636dc,2022-06-18,11
d8eb484d,2022-06-13,22
d8eb484d,2022-06-14,35
d8eb484d,2022-06-15,44
d8eb484d,2022-06-17,38
d8eb484d,2022-06-18,11
95d7a722,2022-06-13,20
95d7a722,2022-06-14,18
95d7a722,2022-06-15,11
95d7a722,2022-06-17,18
95d7a722,2022-06-18,8
0c66dcc3,2022-06-13,9
0c66dcc3,2022-06-14,11
0c66dcc3,2022-06-15,4
0c66dcc3,2022-06-17,13
0c66dcc3,2022-06-18,4
08ad5708,2022-06-13,6
08ad5708,2022-06-14,1
08ad5708,2022-06-15,4
08ad5708,2022-06-17,7
68127101,2022-06-13,4
68127101,2022-06-14,7
68127101,2022-06-15,3
68127101,2022-06-17,3
9fa06802,2022-06-13,7
9fa06802,2022-06-14,9
9fa06802,2022-06-15,5
9fa06802,2022-06-17,4
9fa06802,2022-06-18,1
8716bc90,2022-06-13,234
8716bc90,2022-06-14,134
8716bc90,2022-06-15,139
8716bc90,2022-06-17,254
8716bc90,2022-06-18,45
ef5c6505,2022-06-13,90
ef5c6505,2022-06-14,100
ef5c6505,2022-06-15,120
ef5c6505,2022-06-17,182
ef5c6505,2022-06-18,38
eed009c1,2022-06-13,19
eed009c1,2022-06-14,7
eed009c1,2022-06-15,10
eed009c1,2022-06-17,12
eed009c1,2022-06-18,4
a2887a1c,2022-06-13,3
a2887a1c,2022-06-14,12
a2887a1c,2022-06-15,8
a2887a1c,2022-06-17,9
a2887a1c,2022-06-18,3
7685c354,2022-06-13,2
7685c354,2022-06-14,3
7685c354,2022-06-15,1
7685c354,2022-06-17,9
7685c354,2022-06-18,1
f621a03a,2022-06-13,2
f621a03a,2022-06-14,5
f621a03a,2022-06-15,2
f621a03a,2022-06-17,2
f621a03a,2022-06-18,3
a4dcd0ca,2022-06-13,39
a4dcd0ca,2022-06-14,29
a4dcd0ca,2022-06-15,32
a4dcd0ca,2022-06-17,61
a4dcd0ca,2022-06-18,14
c81d1aa8,2022-06-14,3
c81d1aa8,2022-06-17,1
c81d1aa8,2022-06-18,1
11226196,2022-06-13,3
11226196,2022-06-15,1
11226196,2022-06-17,5
e777d530,2022-06-13,3
e777d530,2022-06-15,1
ff0974d4,2022-06-13,7
ff0974d4,2022-06-14,8
ff0974d4,2022-06-15,10
ff0974d4,2022-06-17,23
ff0974d4,2022-06-18,2
ae6b489a,2022-06-13,5
ae6b489a,2022-06-14,8
ae6b489a,2022-06-15,5
ae6b489a,2022-06-17,10
ae6b489a,2022-06-18,3
37c157da,2022-06-13,4
37c157da,2022-06-14,4
37c157da,2022-06-15,2
37c157da,2022-06-17,4
37c157da,2022-06-18,3
11fc012e,2022-06-13,10
11fc012e,2022-06-14,1
11fc012e,2022-06-15,6
11fc012e,2022-06-17,9
11fc012e,2022-06-18,3
581cce6d,2022-06-13,7
581cce6d,2022-06-14,7
581cce6d,2022-06-15,6
581cce6d,2022-06-17,5
581cce6d,2022-06-18,2
35b11aea,2022-06-13,7
35b11aea,2022-06-14,4
35b11aea,2022-06-15,3
35b11aea,2022-06-17,1
666cbb76,2022-06-13,7
666cbb76,2022-06-14,25
666cbb76,2022-06-15,14
666cbb76,2022-06-17,14
666cbb76,2022-06-18,3
ba4205b3,2022-06-13,3
ba4205b3,2022-06-14,5
ba4205b3,2022-06-15,5
ba4205b3,2022-06-17,7
ba4205b3,2022-06-18,2
00084396,2022-06-13,2
00084396,2022-06-14,5
00084396,2022-06-15,3
00084396,2022-06-17,2
00084396,2022-06-18,1
335ee6ed,2022-06-13,1
335ee6ed,2022-06-14,3
335ee6ed,2022-06-17,2
87d5fc01,2022-06-13,19
87d5fc01,2022-06-14,21
87d5fc01,2022-06-15,31
87d5fc01,2022-06-17,36
87d5fc01,2022-06-18,9
2ecb0246,2022-06-13,11
2ecb0246,2022-06-14,6
2ecb0246,2022-06-15,10
2ecb0246,2022-06-17,10
2ecb0246,2022-06-18,2
c649d947,2022-06-13,3
c649d947,2022-06-14,1
c649d947,2022-06-15,2
c649d947,2022-06-17,2
6ba41113,2022-06-13,10
6ba41113,2022-06-14,10
6ba41113,2022-06-15,5
6ba41113,2022-06-17,6
6ba41113,2022-06-18,2
5e8c808b,2022-06-13,30
5e8c808b,2022-06-14,23
5e8c808b,2022-06-15,40
5e8c808b,2022-06-17,44
5e8c808b,2022-06-18,12
ea3c3ca4,2022-06-13,12
ea3c3ca4,2022-06-14,21
ea3c3ca4,2022-06-15,10
ea3c3ca4,2022-06-17,14
ea3c3ca4,2022-06-18,4
221d0a2c,2022-06-13,11
221d0a2c,2022-06-14,14
221d0a2c,2022-06-15,13
221d0a2c,2022-06-17,15
221d0a2c,2022-06-18,3
3fc3da92,2022-06-13,4
3fc3da92,2022-06-14,9
3fc3da92,2022-06-15,3
3fc3da92,2022-06-17,19
3fc3da92,2022-06-18,1
4ea3c87b,2022-06-13,19
4ea3c87b,2022-06-14,6
4ea3c87b,2022-06-15,1
4ea3c87b,2022-06-17,3
4ea3c87b,2022-06-18,6
1d0e69fb,2022-06-13,7
1d0e69fb,2022-06-14,5
1d0e69fb,2022-06-15,3
1d0e69fb,2022-06-17,4
796e3e69,2022-06-13,1
796e3e69,2022-06-14,10
796e3e69,2022-06-15,1
796e3e69,2022-06-17,6
796e3e69,2022-06-18,3
0235666f,2022-06-13,12
0235666f,2022-06-14,17
0235666f,2022-06-15,10
0235666f,2022-06-17,9
0235666f,2022-06-18,4
c9859026,2022-06-13,2
c9859026,2022-06-14,2
c9859026,2022-06-15,1
c9859026,2022-06-17,5
c9859026,2022-06-18,1
68c64e47,2022-06-13,46
68c64e47,2022-06-14,36
68c64e47,2022-06-15,31
68c64e47,2022-06-17,30
68c64e47,2022-06-18,16
9a97a557,2022-06-13,8
9a97a557,2022-06-14,6
9a97a557,2022-06-15,8
9a97a557,2022-06-17,1
4b97b908,2022-06-13,1
4b97b908,2022-06-14,10
4b97b908,2022-06-15,2
4b97b908,2022-06-17,10
4b97b908,2022-06-18,4
ae41f2f1,2022-06-13,20
ae41f2f1,2022-06-14,22
ae41f2f1,2022-06-15,23
ae41f2f1,2022-06-17,61
ae41f2f1,2022-06-18,16
d31e2658,2022-06-13,146
d31e2658,2022-06-14,104
d31e2658,2022-06-15,97
d31e2658,2022-06-17,144
d31e2658,2022-06-18,28
2d464b3e,2022-06-13,47
2d464b3e,2022-06-14,46
2d464b3e,2022-06-15,70
2d464b3e,2022-06-17,78
2d464b3e,2022-06-18,21
3d56f66e,2022-06-13,13
3d56f66e,2022-06-14,19
3d56f66e,2022-06-15,15
3d56f66e,2022-06-17,28
3d56f66e,2022-06-18,4
76732c3d,2022-06-13,48
76732c3d,2022-06-14,67
76732c3d,2022-06-15,53
76732c3d,2022-06-17,92
76732c3d,2022-06-18,32
d3208615,2022-06-13,14
d3208615,2022-06-14,7
d3208615,2022-06-15,10
d3208615,2022-06-17,15
d3208615,2022-06-18,10
4985360b,2022-06-13,80
4985360b,2022-06-14,74
4985360b,2022-06-15,105
4985360b,2022-06-17,96
4985360b,2022-06-18,38
22e04c36,2022-06-13,34
22e04c36,2022-06-14,24
22e04c36,2022-06-15,48
22e04c36,2022-06-17,67
22e04c36,2022-06-18,15
e83098b2,2022-06-13,50
e83098b2,2022-06-14,43
e83098b2,2022-06-15,43
e83098b2,2022-06-17,23
e83098b2,2022-06-18,4
bd46700c,2022-06-13,9
bd46700c,2022-06-14,21
bd46700c,2022-06-15,17
bd46700c,2022-06-17,17
bd46700c,2022-06-18,14
fe882888,2022-06-13,4
fe882888,2022-06-14,13
fe882888,2022-06-15,6
fe882888,2022-06-17,17
fe882888,2022-06-18,5
837fff23,2022-06-13,22
837fff23,2022-06-14,56
837fff23,2022-06-15,55
837fff23,2022-06-17,63
837fff23,2022-06-18,11
9b875320,2022-06-13,17
9b875320,2022-06-14,28
9b875320,2022-06-15,20
9b875320,2022-06-17,27
9b875320,2022-06-18,6
f3350073,2022-06-13,16
f3350073,2022-06-14,3
f3350073,2022-06-15,2
f3350073,2022-06-17,4
f3350073,2022-06-18,8
0bb5d1ba,2022-06-13,36
0bb5d1ba,2022-06-14,68
0bb5d1ba,2022-06-15,58
0bb5d1ba,2022-06-17,67
0bb5d1ba,2022-06-18,21
dd42b549,2022-06-13,31
dd42b549,2022-06-14,46
dd42b549,2022-06-15,48
dd42b549,2022-06-17,32
dd42b549,2022-06-18,13
f7ca6e9a,2022-06-13,6
f7ca6e9a,2022-06-17,1
f7ca6e9a,2022-06-18,1
2dbf0fc9,2022-06-13,12
2dbf0fc9,2022-06-14,2
2dbf0fc9,2022-06-15,2
303f0609,2022-06-13,42
303f0609,2022-06-14,82
303f0609,2022-06-15,92
303f0609,2022-06-17,61
303f0609,2022-06-18,14
6a1d4459,2022-06-13,134
6a1d4459,2022-06-14,74
6a1d4459,2022-06-15,91
6a1d4459,2022-06-17,120
6a1d4459,2022-06-18,46
302727b6,2022-06-13,32
302727b6,2022-06-14,12
302727b6,2022-06-15,25
302727b6,2022-06-17,26
302727b6,2022-06-18,8
5b822f70,2022-06-13,59
5b822f70,2022-06-14,59
5b822f70,2022-06-15,25
5b822f70,2022-06-17,83
5b822f70,2022-06-18,23
65b6c52d,2022-06-13,66
65b6c52d,2022-06-14,103
65b6c52d,2022-06-15,68
65b6c52d,2022-06-17,129
65b6c52d,2022-06-18,29
511419ee,2022-06-13,31
511419ee,2022-06-14,42
511419ee,2022-06-15,31
511419ee,2022-06-17,35
511419ee,2022-06-18,19
4b7d443d,2022-06-13,28
4b7d443d,2022-06-14,59
4b7d443d,2022-06-15,33
4b7d443d,2022-06-17,29
4b7d443d,2022-06-18,5
c3680fc3,2022-06-13,79
c3680fc3,2022-06-14,72
c3680fc3,2022-06-15,111
c3680fc3,2022-06-17,117
c3680fc3,2022-06-18,41
8637d077,2022-06-13,17
8637d077,2022-06-14,15
8637d077,2022-06-15,10
8637d077,2022-06-17,15
8637d077,2022-06-18,6
06f8642d,2022-06-13,5
06f8642d,2022-06-14,9
06f8642d,2022-06-15,3
06f8642d,2022-06-17,3
06f8642d,2022-06-18,1
c03c0292,2022-06-13,1
c03c0292,2022-06-14,6
c03c0292,2022-06-15,4
c03c0292,2022-06-17,1
c03c0292,2022-06-18,1
3deec112,2022-06-13,16
3deec112,2022-06-14,13
3deec112,2022-06-15,10
3deec112,2022-06-17,12
3deec112,2022-06-18,3
96613760,2022-06-13,17
96613760,2022-06-14,10
96613760,2022-06-15,10
96613760,2022-06-17,14
0efb6845,2022-06-13,10
0efb6845,2022-06-14,10
0efb6845,2022-06-15,17
0efb6845,2022-06-17,6
0efb6845,2022-06-18,2
a0126a0d,2022-06-13,7
a0126a0d,2022-06-14,7
a0126a0d,2022-06-15,7
a0126a0d,2022-06-17,10
a0126a0d,2022-06-18,4
1e8002e7,2022-06-13,12
1e8002e7,2022-06-14,20
1e8002e7,2022-06-15,7
1e8002e7,2022-06-17,18
1e8002e7,2022-06-18,23
2a71fdad,2022-06-13,8
2a71fdad,2022-06-14,7
2a71fdad,2022-06-15,6
2a71fdad,2022-06-17,7
2a71fdad,2022-06-18,5
e04d1cc8,2022-06-13,31
e04d1cc8,2022-06-14,29
e04d1cc8,2022-06-15,25
e04d1cc8,2022-06-17,38
e04d1cc8,2022-06-18,14
04b32706,2022-06-13,8
04b32706,2022-06-14,22
04b32706,2022-06-15,15
04b32706,2022-06-17,28
04b32706,2022-06-18,5
4509f9e9,2022-06-13,15
4509f9e9,2022-06-14,9
4509f9e9,2022-06-15,8
4509f9e9,2022-06-17,12
4509f9e9,2022-06-18,8
8723fd12,2022-06-13,16
8723fd12,2022-06-14,11
8723fd12,2022-06-15,9
8723fd12,2022-06-17,15
8723fd12,2022-06-18,9
dc3545b1,2022-06-13,19
dc3545b1,2022-06-14,19
dc3545b1,2022-06-15,14
dc3545b1,2022-06-17,24
dc3545b1,2022-06-18,9
dcc9ef5e,2022-06-13,2
dcc9ef5e,2022-06-14,11
dcc9ef5e,2022-06-15,6
feedceaa,2022-06-13,8
feedceaa,2022-06-14,17
feedceaa,2022-06-15,6
feedceaa,2022-06-17,31
feedceaa,2022-06-18,6
41528454,2022-06-13,30
41528454,2022-06-14,14
41528454,2022-06-15,14
41528454,2022-06-17,30
41528454,2022-06-18,10
76b6d3ce,2022-06-13,13
76b6d3ce,2022-06-14,6
76b6d3ce,2022-06-15,16
76b6d3ce,2022-06-17,18
76b6d3ce,2022-06-18,6
fd04d107,2022-06-13,21
fd04d107,2022-06-14,10
fd04d107,2022-06-15,16
fd04d107,2022-06-17,23
fd04d107,2022-06-18,12
c63c4eaa,2022-06-13,47
c63c4eaa,2022-06-14,39
c63c4eaa,2022-06-15,72
c63c4eaa,2022-06-17,60
c63c4eaa,2022-06-18,20
a7a1420c,2022-06-13,9
a7a1420c,2022-06-14,12
a7a1420c,2022-06-15,1
a7a1420c,2022-06-17,12
a7a1420c,2022-06-18,5
0f857883,2022-06-13,21
0f857883,2022-06-14,14
0f857883,2022-06-15,7
0f857883,2022-06-17,25
0f857883,2022-06-18,10
150e1ecd,2022-06-13,17
150e1ecd,2022-06-14,16
150e1ecd,2022-06-15,30
150e1ecd,2022-06-17,52
150e1ecd,2022-06-18,6
259c8e93,2022-06-13,40
259c8e93,2022-06-14,27
259c8e93,2022-06-15,23
259c8e93,2022-06-17,18
259c8e93,2022-06-18,12
0643984e,2022-06-13,72
0643984e,2022-06-14,82
0643984e,2022-06-15,62
0643984e,2022-06-17,116
0643984e,2022-06-18,23
ad3a030c,2022-06-13,13
ad3a030c,2022-06-14,3
ad3a030c,2022-06-15,9
ad3a030c,2022-06-17,6
ad3a030c,2022-06-18,3
244c5f01,2022-06-13,52
244c5f01,2022-06-14,50
244c5f01,2022-06-15,37
244c5f01,2022-06-17,95
244c5f01,2022-06-18,31
51e46628,2022-06-13,10
51e46628,2022-06-14,1
51e46628,2022-06-15,3
51e46628,2022-06-17,3
3c6fff5d,2022-06-13,26
3c6fff5d,2022-06-14,25
3c6fff5d,2022-06-15,31
3c6fff5d,2022-06-17,48
3c6fff5d,2022-06-18,8
c9b23266,2022-06-13,10
c9b23266,2022-06-14,10
c9b23266,2022-06-15,24
c9b23266,2022-06-17,11
c9b23266,2022-06-18,6
22a6034f,2022-06-13,18
22a6034f,2022-06-14,25
22a6034f,2022-06-15,21
22a6034f,2022-06-17,67
22a6034f,2022-06-18,14
7cf564be,2022-06-13,14
7cf564be,2022-06-14,34
7cf564be,2022-06-15,12
7cf564be,2022-06-17,17
7cf564be,2022-06-18,12
e8828d29,2022-06-13,2
e8828d29,2022-06-14,13
e8828d29,2022-06-15,3
e8828d29,2022-06-17,5
e8828d29,2022-06-18,3
a3db3287,2022-06-13,6
a3db3287,2022-06-14,21
a3db3287,2022-06-15,13
a3db3287,2022-06-17,15
a3db3287,2022-06-18,5
8d394680,2022-06-13,7
8d394680,2022-06-14,12
8d394680,2022-06-15,9
8d394680,2022-06-17,24
8d394680,2022-06-18,2
5ee70af5,2022-06-13,13
5ee70af5,2022-06-14,40
5ee70af5,2022-06-15,17
5ee70af5,2022-06-17,18
5ee70af5,2022-06-18,14
13bc18c6,2022-06-13,29
13bc18c6,2022-06-14,30
13bc18c6,2022-06-15,32
13bc18c6,2022-06-17,27
13bc18c6,2022-06-18,14
9d6c942e,2022-06-13,22
9d6c942e,2022-06-14,18
9d6c942e,2022-06-15,15
9d6c942e,2022-06-17,19
9d6c942e,2022-06-18,19
4407a69f,2022-06-13,4
4407a69f,2022-06-15,1
4407a69f,2022-06-17,2
6e741b38,2022-06-13,199
6e741b38,2022-06-14,132
6e741b38,2022-06-15,202
6e741b38,2022-06-17,302
6e741b38,2022-06-18,80
d71d9ede,2022-06-13,9
d71d9ede,2022-06-14,7
d71d9ede,2022-06-15,3
d71d9ede,2022-06-17,6
a30ba6f8,2022-06-14,1
fe226676,2022-06-13,19
fe226676,2022-06-14,21
fe226676,2022-06-15,17
fe226676,2022-06-17,26
fe226676,2022-06-18,14
55f1648c,2022-06-13,318
55f1648c,2022-06-14,398
